text,source
오랜만에 부산대와서 맛잇는거 뭐먹을까 생각하며 검색해서 온 곳인데 역시 잘 선택 한거 같아요😁 배고팠는데 음식도 너무 맛있고 사이드 메뉴도 먹고 싶은게 많았어요 ㅎ 재방문 각 입니댜 사장님 번창 하세여^^,crawl
"부산대 앞에서 분위기랑 맛, 둘 다 잡는 곳을 찾는다면 무조건 '심취' 추천 합니다!🫶🏻 요리 하나하나 퀄리티가 남다릅니다. 시그니처 메뉴인 육회 카펠리니는 정말 인생 메뉴 등극이에요. 신선한 한우 암소 육회에 고소한 들기름 소스, 얇은 카펠리니 면의 조합이 환상적입니다. (꼭 비비지 말고 면 위에 육회랑 깻잎 올려서 드세요!) 함께 시킨 마라 손만두도 별미였어요. 부드러운 크림소스에 은은하게 퍼지는 마라향이 정말 중독적이에요. 가게 내부도 힙하고 샹들리에가 예뻐서 데이트나 특별한 날 오기에도 완벽합니다. 평일 저녁인데도 금방 만석 되더라고요. 왜 부산대맛집으로 유명한지 바로 알 수 있었어요. 재방문 의사 200%입니다!🤤🤤",crawl
"매장도 깔끔하고 메뉴도 힙하고 서빙해주시는,요리해주시는 남자분들도 다들 훈남이세요 신선한 육사시미를 부산대에서 맛볼수 있어서 너무좋았어요~ 힙한곳은 이유가 있는거같아요❤️ 번창하세요",crawl
술집 분위기 너무 깔끔하고 좋아요! 인테리어도 예뻐서 데이트나 친구들과의 만남도 추천이에요~ 그리고 무엇보다 음식이 정말 깔끔하고 맛있어요! 전골도 신선하고 간장계란밥도 맛있네요! 완전 추천입니다!,crawl
"자주 찾았던, 그러나 아쉬웠던 '심취' 21년부터 자주 오던 곳이지만 자리를 옮기고 나서 이번주 다시 방문했습니다. 늘 시켜먹던 육회 카펠리니와 시그니처메뉴인 심취 전골을 주문했어요. 육회 카펠리니는 면의 조리된 정도가 개인적으론 아쉬웠고 육회와 깻잎의 조화가 어우러지지 못하는 느낌을 받았습니다. 또한, 심취 전골은 맛의 깊이와 고기의 양이 개인적으론 풍부하지 못했습니다. 부산대 술집 중 가장 분위기도 특별하고 메뉴도 매력있어 많이 방문했던 곳입니다. 특히 술을 주문하면 특색있는 잔을 선택하는 시스템은 새로웠습니다. 또한, 적당히 어두운 조명과 인테리어는 만족스러웠습니다. 다만, 안주가 개선되었으면 하는 마음이네요. 특별한 분위기에서 편하게 대화하고 싶으실 때 심취에서 이야기를 나눠보세요.",crawl
부산대에 이런 술집이 있다는거만으로도 얼마나 감사한지....🥹 사장님이 솜씨가 좋으셔서 전메뉴 다 특출나게 맛있어요 매장 내부 분위기도 감성있고 깔끔하고 좋아요 진짜 모든 안주 다 맛있으니까 무조건 가보세요 ㅜㅜ,crawl
"부산대 축제날 방문해서 이미 만석이더라고요! 그래서 30분 넘게 기다렸는데 오래 기다려서 미안하시다며 서비스로 아이스크림, 크림치즈크래커 등 너무 잘 챙겨주셔서 찐 감동했어요!! 심취 전골도 존맛탱입니다,, 역시 인기 많은 곳은 이유가 있네요! 재방문 의사 100프로 입니당ㅎㅎ",crawl
맛있어요 술잔골라서 먹으니재밌네요,crawl
너무 맛있어요..!! 하이볼도 예쁘고 맛도 좋아용 육회파스타도 진짜 맛있어요!! 가게도 이쁘고 데이트하기 좋습니당,crawl
맛있게 잘 먹었습니다! 다음에도 방문할게요 :),crawl
너무 맛있게 잘 먹었어요🤍🤍🤍🤍,crawl
항상 와야지 와야지 하면서 못오다가 여자친구랑 처음 와 봤습니다. 진짜 육회카펠리니먹고 너무 맛있어서 기절했습니다.. 들기름향도 너무 좋구요. 원래 하나만 먹으려다 둘다 입맛이 확 돌아서 한미프라이도 시켰는데 요거완전 제취향입니다. 그리고 기본안주가 연유발린건데 넘맛있네욥,crawl
분위기가 좋고 음식 맛도 너무 맛있어요~!!,crawl
오랜만에 방문한 심취!! 메뉴가 조금 달라졌지만 카펠리니는 여기가 최고!!! 불고기 프라이 치즈좋아하시는분이라면 꼭드셔보세요!! 꾸덕하면서 치즈향이 참좋네요!! 분위기도 좋고 맛은 더좋은 심취입니다!!,crawl
"가게 분위기는 모던, 깔끔해서 분위기도 좋고 대화하기도 좋은 것 같아요😄 기본 안주로 블루베리가 나오는데 상콤하니 괜찮네요! 저희가 시킨 안주는 육회 카펠리닌데 들기름과 육회의 고소함과 깻잎의 향긋함이 잘 어울리고 짱 맛있어요! 고급스러운 음식 먹는 기분🤭 술잔도 넘 귀엽고 하이볼도 상콤하니 쭉쭉 들어갑니다아❤️‍🔥",crawl
메뉴가 조금씩 바뀌나봐요 ..! 안주가 대체적으로 다 맛있어요 ~!,crawl
부산대에 맛집찾아서 행복해요♡♡♡♡ 들어오자 말자 내술잔 선택할수 있어서 너무 조아용 가게 내부도 깔끔하도 의자도 생각보다 편하네요@ 사장님이 너무 친절하십니당~설명도 잘해주시고용 딴건 몰라도 기본안주 쉬원하게 냉동 블루베리 입맛 돋는데 최공¡¡¡¡¡ 육회카페리니가 와 대박 왜 추천 메뉴인지 알겠어용 육회도 쫀득하니 맛있는데 들기름인지 꼬소한 카페리니면에 느끼함 잡아주는 깻잎까지 한번 술이 술술 넘어갑니다:D 우선 음식맛에 감탄하고 네이버 리뷰 이벤트 할려고 쓰는데 다른 요리도 다시 주문하러 갑니당♡♡♡,crawl
간단하게 밥한끼하러 왔는데 안심이거 진짜진짜진짜 너무 부드럽고 맛있습니다.. 전에는 카펠리니 먹고 감탄했는데 이번에도 메뉴선택 성공이네요,crawl
일요일 마감 시간인데도 거의 만석이네요 안주 하나하나가 다 맛있고 특히 술이 맛있어요 이 동네 사람이면 늘 자주오는 곳이죠,crawl
너무 맛있어서 메뉴 도장깨기중이여 카펠리니도 존맛탱이고 불고기프라이즈도 개맛있네여 육회도 싱싱하니 맛있습니다 술집메뉴가 이렇게 맛있다니요 개맛집입니다~~~,crawl
잔잔하게 깔린 팝송에 대화하기 좋은 술집이에요! 무엇보다 음식 모두 맛있고 직원분들이 친절하셔서 또 오고 싶은 곳이에요 ㅎㅎ 리뷰이벤트 하면 셔벗이나 크림치즈 중 하나 받을 수 있으니 꼭 참여하세용!😍,crawl
이번에 육회가 너무 땡겨서 급하게 검색해서 갔는데 분위기도 너무 좋은 요리주점이라 놀랐어요 블루베리에 연유가 기본안주로 나오는 곳은 처음이라 신기했고 맛도 좋았어요 ㅎ.ㅎ 육회도 따로 말할 필요 없이 신선하고 쫄깃 부드러운게 좋았습니다! 들기름베이스의 육회깻잎파스타도 자극적이지 않게 삼삼하게 맛있어서 정말 좋았어요!,crawl
부산대 올때마다 한번 와야지하다가 드뎌 와보는데 술너무 맛있구 분위기 짱 좋습니당 :) 한우 육사시미 너무 야들야들하게 맛있어요!! 강추강추,crawl
술집 간다하면 항상 빠지지 않고 리스트에 고려하는 심취 또또또 재방문 했습니다!! 항상 음식이 맛있고 실패하는 안주가 없으면서 매장 분위기도 좋고 친절한 서비스 덕분에 자주 방문하게 되는 곳입니다!!,crawl
처음 왓는데 부대에 이런 곳이 있다고?!?! 너무 맛있고 주류도 다양해서 좋았어요👍,crawl
소개로 왔는데 분위기 넘 좋아요 ^^ 마약옥수수튀김.육회 다 맛있네요~ 재방문의사 있어요,crawl
육사시미 너무 신선하고 맛있어요! 직원분들도 친절하시고 매장도 깔끔해서 데이트하기도 좋을 것 같아요 ㅎㅎ 추찬합니다!,crawl
부산대에서 가성비 좋은 맛집들도 있지만 맛을 보고 온다면 무조건 심취 ㅜ 안주들이 하나같이 다 맛있고 데이트하기 좋아요 ㅎㅎ❤️🩷💕💖🎀😀,crawl
안주 맛있고 분위기 좋아서 데이트하기도 좋고 매장도 넓어서 친구들끼리 와도 좋을꺼 같아요~~ 무엇보다 안주 넘 맛있어요~~ 기본안주는 블루베리인데 시원하고 넘 좋아요 ㅎ,crawl
심취전골 국물 미쳤고 육회 신선하고 양념된맛도 너무 맛있어요❤❤ 자리도 나름 넉넉하고 대화하는 분위기라 너무 적적하지않게 얘기할 수 있어서 너무좋아요❤,crawl
너무 맛있어요 ㅎㅎ 부산 출장중에 저녁에 분위기 내고싶어서 열심히 검색해서 찾았어요 :) 면이 독특한데 육회랑 조화가 진짜 예술이에요 깔끔하니 맛있게 술 한잔 할 수 있어요 그리구 술종류가 많아서 좋아요 !!!,crawl
너무 맛있네요 담에 또 오고싶어요!!!!!! 부산대 맛집 심취 최고!!!,crawl
운좋게 딱 한자리남아 와보고싶었던 심취 드디어 방문. 응식맛있고 손님들도 많아요. 즐거운시간보냈습니다. 먹고싶은게 많았는데 대표메뉴만 먼저 먹어보았고 재방문의사있어요!,crawl
"친구들과 오랜만에 부산대에 왔는데,오기전에 검색해서 왔는데 너무 맛있네요~분위기도 좋고~다음에오면 다른메뉴를 먹오보고싶어요",crawl
1년만에 왔어요! 남자친구랑 처음 술 마신 장소에서 1년을 맞이하네요 :) 좋은 추억에 함께한 맛있는 음식 감사합니다. 참고로 여긴 육회카펠리니가 최고예요👍 간장버터계란밥까지 최고네여...,crawl
안주 너무 맛있어요!! 라이트해서 2차로 방문하기 딱 좋습니다 ㅎㅎㅎ,crawl
