text,source
"부산대 인근에서 카공하기 좋은 카페, 스몰굿커피☕️ 스터디 카페 못지않은 환경, 그리고 합리적인 가격의 커피를 찾고 있다면 스몰굿커피 부산대점을 강추합니다. 저 역시 공부하러 자주 가는 곳으로, 크림이 올라간 커피 한 잔과 함께 공부하기에 좋습니다. 부산대 카공, 부산대 카페, 스터디 카페를 찾고 있다면 스몰굿커피에서 카공하시길 추천합니다~🤗",crawl
"이른시간 오픈하는 착실한 카페입니다. 겉보다 안이 크고, 3층까지있어서 넓어요. 공부하려고 검색해서 왔는데 스카보다 더 잘되어있는3층에 감탄했어요. 겨우 7천원결제로 이용하기에 미안할정도예요 커피는 진짜, 너무 맛있어요 샌드위치도 장난아니에요. 다먹고 공부 시작합니다~ 여기, 최고",crawl
카공하기 좋은 카페라고 해서 와봤는데 집중도 잘 되고 1 2 3층 다 분위기가 달라서 때에 따라 맞게 이용하면 될 것 같아요! 샌드위치도 맛있고 라떼 맛집이네용 ㅎㅎ,crawl
일하면서 있기에 좋네요 1층 2층 3층 분위기도 다 다르고 커피 화장실 인테리어 다 좋아요 자주 올거같아요,crawl
집중하기 너무 좋아서 찾아오는곳이에요! 커피도 맛있구요!! 즐겨오는 카페입니당!💗💗,crawl
"층마다 분위기가 달라서 좋아요! 대화하기에도 좋고, 3층에서는 칸막이가 있어 혼자 공부하기도 좋습니다!",crawl
커피가 맛있어요 다른 커피숍에서 맛볼 수 없는 흔하지 않은 그런 맛입니다. 근데 화장실도 좁고 노래소리가 들려서 오래 있지는 못할 것 같아요. 3층은 노래 안 틀긴 하는데 2층 노래소리가 들립니다. 많이 들려요.. 사람들도 간간히 얘기하고 타자 소리 들리고.. 집중하러 가기보다 잠깐 기분전환 하러 가는 곳입니다. 계단도 너무 가팔라서 무릎 아팠어요.. 넘어질까봐 조마조마하고.. 근데 커피는 맛있어요 ㅎ,crawl
"1,2,3층 모두 만족스러운 스몰굿 커피입니다! 층별로 분위기가 달라서 좋아요! 저는 카공할때 주로 이용하는데요, 집중을 원하면 3층, 영감을 원하면 2층을 추천드림니다~ 테이크 아웃은 천원 할인도 되니 참고하셔용",crawl
커피한잔 하면서 공부하기 좋아요!! 1층은 수다떨기 좋고 2층은 친구랑 공부하기 좋고 3은 혼자 와다다 공부하기 좋아요ㅎㅎ 독서실이나 스카는 답답해서 못 가는 편인데 여기서는 집중이 잘 되더라구요 굿굿,crawl
전에 사장님 추천받고 딸기요거트 스무디 시켰는데 상큼하고 꾸덕한 달달함이네여 맛있게 잘먹고 갑니다🍓❤️,crawl
예전에도 왔었는데 1 2 층은 대화하기좋고 3층은 완전 카공하기 좋게 만들어놨던 기억이 있어 왔어요!!! 약속 전 카공하러 왔는데 3층 존이 너무 잘되어있고 음료도 가성비가 넘 좋아요!!! 부산대 카공 찾는분들은 완전 추천,crawl
"재재재방문이에요! 여긴 층마다 분위기가 다른게 너무 좋아요ㅠ 3층은 조용히 공부하기 너무 좋은 분위기고 도란도란 얘기하고 싶으면 1, 2층을 이용하면 딱 좋아요ㅎㅎ 언제 와도 엄청 시끄러운 적은 없었어요! 직원 분들도 항상 친절하시고 탁 트인 창 + 따뜻한 색감의 인테리어와 조명이 맘을 편하게 해줘요☺️💗 오늘도 잘 이용하고 갑니다!",crawl
부산대 노트북이나 공부하기 좋은 카페에요,crawl
커피 맛있어서 약속있을때마다 방문해욥!,crawl
커피랑 빵 다 너무 맛있구 3층은 칸막이가 되어있어서 집중해서 공부하기도 좋아요.,crawl
카공하러왔는데 스카처럼되어있어서 공부하기좋았어요!! 매장도 넓고 조용하고 좋아요 자주이용할꺼같애요!😀😀,crawl
"총 3층으로 엄청 크고, 2층엔 다같이 와서 대화하기 좋고, 3층엔 칸막이가 설치되어있어 혼자 오기 좋아요. 학교 가기 전 애매한 시간에 와서 공부하기 딱! 특히 브라우니가 엄청 쫀쫀하고 맛있어요 추천!!",crawl
혼자 와서 책읽기 좋아요 3층이 찐입니다,crawl
공부하러 왔는데 분위기도 너무 좋고 특히 3층은 집중 할 수 있는 공간이 있어서 좋았습니다~ 시험기간에 자주 올거 같아요! 음료도 맛있습니다,crawl
밀크티 맛잇어요!! 집중하기 좋아요,crawl
스몰굿커피라는 메뉴를 마셔봤는데 너무 맛있어요!,crawl
커피 너무 맛있어서 눈깜짝하니 없어졌네요 종종 들를게요~,crawl
공부하기 너무 좋은 카페인거같아요 자주 올거같습니다 ㅎㅎ,crawl
맨날 아아랑 스몰굿커피만 마셨는데 말차라떼도 맛있네요💚,crawl
경치가 보이는 카페를 가고싶어서 찾아보고 방문했는데 생각보다 훨씬 좋고 쾌적해요! 음악도 시끄러운음악이 아닌 감미로운음악이나와서 제일 좋았어요 화장실도 쾌적하고 전반적으로 집중할 수 있는 분위기가 마음에 들었습니다.,crawl
스몰굿커피에서 파는 샌드픽 과일크림산도 맛있어요!,crawl
커피 마시면서 공부하러 자주 갑니다,crawl
집에서 자꾸 집중이 안되어서 여기 3층 카공에 좋다고 해서 와봄 칸막이 1인 책상 오호 집중해서 책보기 좋네요 음악소리 크기 적당하니 맘에 듭니다,crawl
조용하게 커피 한잔하다가 가기 너무 좋았습니다,crawl
조용하게 커피마시면서 할일 할 수 있는 카페를 찾다 들어오게 됐어요! 삼층까지 있고 2층에는 음악이 나오지만 3층은 사진과 같이 개별 좌석에 따로 음악도 나오지 않아서 공부하기 정말 좋은 장소입니다. 다음에 또 오고싶어요!,crawl
아메리카노 3천원으로 가성비 좋구 조용한 분위기라 공부하기 좋아요🤍,crawl
공부하기 너무 좋아요! 특히 3층!,crawl
"스몰굿 음료 좋아해서 여러지점 이용 하는데 부산대점은 매장도 넓고, 특히 공부하기 좋아요~! 슈크림라떼를 마셔줘야 봄이 온 느낌인데 스몰굿에도 슈크림라떼 생겨서 너무 좋네용ㅋㅋㅋㅋ 다른곳보다 덜달아서 좋아용♡",crawl
딸기밀크티 맛있어요 😀,crawl
아침 일찍 방문하니 조용하게 책읽기 너무 좋네요😆자주 방문하겠습니다💜❤️,crawl
자주 이용하는 부산대카페맛집 스몰굿커피 조용해서 좋고 좌석간 간격도 넓어서 좋아요! 매장도 깔끔한데 커피맛이나 샌드위치도 굿💕,crawl
