text,source
부산대 정문 근처에 위치한 카페입니다. 차분한 음악과 함께 조용히 커피를 마실 수 있는 곳입니다. 강력 추천합니다.,crawl
커피가 향긋하고 맛있어요~~~ 가격도 합리적이고 자주 올 것 같아용!,crawl
분위기가 좋고 흐르는 음악 또한 조용하니 사색에 잠기기 좋더라구요 일행이 있었다면 도란도란 대화 나누기도 좋을 카페입니다 아메리카노랑 롱블랙 그리고 드립커피등 다양한 종류의 커피를 부담스럽지 않은 가격으로 접할 수 있고 커피를 마시지 않더라도 다른 종류의 음료도 다양하네요 디저트가 맛있다고 해서 스콘을 주문했는데 따뜻하게 먹기 좋도록 데워주셨어요 퍽퍽허지 않게 부드럽게 잘 넘어가구요 저는 호주에서 마시던 커피 생각에 롱블랙으로 주문했는데 그 특유의 맛이 잘 살려진것 같아 좋았어요,crawl
"카공 하기에도 좋은 로제이브☕️ 플랫화이트를 주문했는데, 라떼아트도 예뻐서 먹는 맛이 좋습니다. 부산대 커피가 맛있는 카페중 하나이니 꼭 방문해보시길 추천드려요~🤗",crawl
커피랑 음료가 다 맛있어서 넘 좋아하는 집이에요. 매장은 작아서 보통 테이크아웃해서 먹는 편! 가게 앞 주차 1-2대 가능!,crawl
친구가 로제에서 먹었던 플레이버라떼 좋아해서 먹으러 오랜만에 방문했어요. 아메리카노 마티나 여전히 맛있네요!,crawl
매장이 깔끔하고 잠시 일하고 가기 좋아요! 콜드블루 깔끔하게 정말 맛있어요🫶,crawl
"항상 얼그레이 라떼 플레이버라떼로 잘 찾곤하는데, 시그니처메뉴가 너무 맛있어용~!! 단종 싫어요 오래오래 팔아주세요❤️🙆‍♀️",crawl
졸업해도 부산대 들릴 때마다 꼭 테이크아웃 하는 커피에요.. 다른 지점도 많이 생겼으면 좋겠습니다🥺,crawl
아침에 일찍 오픈하는 카페가 없었는데 우연히 발견한 카페였는데 조용한 분위기며 친절함이 좋았던 곳이였어요 자주 들릴것 같은 카페였습니다^^,crawl
아메리카노에 대한 편견을 부숴진 첫 번째 카페. 로제이브 스페셜티 ! 처음 방문하시는 분들은 마티나 추천해요. 말차스무디는 처음 먹어보는데 휘핑없어도 씁쓸달달해서 맛있네요,crawl
로제이브 완전 좋아요 레몬 에이드 맛있어요 분위기가 좋아요,crawl
분위기도 좋고 시원하고 집중도 잘 돼요 처음 왔는데 많이 방문할거같아요 가격도 싸요,crawl
밀크쉐이크 맛있어요 커피도 맛있어요 친구랑 카공하기 좋은 분위기에요,crawl
너무 맛있고 분위기도 너무 좋아요!,crawl
두번째 방문인데 분위기도 아늑하고 커피가 맛있어요:) 친절하고 깔끔해서 자주 찾고 싶은 곳이예요,crawl
"제가 부산대에서 먹어본 커피 중에 여기가 가장 맛있고, 쓰지도 않고 초콜릿 맛 나요~ 매장도 아늑하고 좋아요!",crawl
커피 맛집이에용 노래도 잔잔하고 좋아서 공부하기에도 좋은것 같아용,crawl
부산대 토스트 거리에서 마티나 맛나게 먹었던 기억이 있어서 부산대 올때마다 오게되네요. 마티나 강추합니다!! 부산대 살면 매일 올듯해염 ㅋㅅㅋ,crawl
맛이 좋아서 자주 와요,crawl
커피는 항상 로제이브에서 마셔용 커피맛집 !!🩶,crawl
로제이브 항상 최고... 밀크티 존맛,crawl
로제이브커피 디카페인 콜드브루 생각나서 부산대까지 왔어요〰️🩷 너무 부드럽고 맛있어요!!,crawl
이런날에 로제이브 플랫화이트 👍,crawl
오랜만에 왔는데 여전히 맛있군,crawl
다들 친절하시고 음료도 맛있어용,crawl
밀크티 맛집이라고 해서 왔는데 말차라떼도 완전 말차맛 나고 씁쓰름 달달해서 맛있어요!!!!💚,crawl
오늘의 커피 원두가 맛있어요 드립 ㄱㄱ,crawl
자주가는 카페입니다. 사장님도 친절하시고 콜드브루 커피가 특히 맛있어요. 콜드브루 마티나 강추합니다.,crawl
노래도 잔잔하게 좋고 분위기도 좋고 커피도 맛있어서 하루에 두번 와요 ㅎㅎ,crawl
직원분도 너무 친절하고 분위기가 좋아요~~ 커피도 맛있구요 ㅎㅎ 추천합니다!!,crawl
저번에도 커피사먹고 마싯어서 또먹으러왓어요 조용하게 잇기좋은곳이에요!!ㅎㅎ 커피도마싯구 빵두마식아요,crawl
로제이브와 함께하는 일상,crawl
오늘의커피 드립으로 마셨는데 깔끔하고 맛있었어요!,crawl
부산대 커피 1등이에요🤘 커피&음료 둘다 실패없어요 !! 콜드브루 원액도 10병넘게 사간 단골매장 ~~ 강추합니다!!,crawl
딸기 말차라떼가 아주 맛있네요!! 이거 드셔보세요!,crawl
진짜 제가 제일 좋아하는 카페입니당 특히 콜드브루가 너무 맛있어요ㅠㅠ 보통 산미있는 콜드브루는 찾기 힘든데 여긴 산미있는거로 선택할수있어서 너무 좋아요 ㅎㅎ,crawl
"진짜 완전 커피 맛집,, 부산대 1티어 커피집 저는 다크 좋아해서 다크 아메리카노 시키는데 세상 맛있습니당.. 체고에요 ㅠㅜㅠ 커피에서 초코맛이 나요 ㅠㅜㅠ 꼭 한 번 와보세요!! 내부도 넓어서 먹고가기 좋아요🍀",crawl
커피맛이 깔끔하고 원두가 맛있어요!,crawl
벤티예요,crawl
커피가 맛있고 매장 분위기가 너무 좋아요!!,crawl
